name,ID,tags
Chana masala,78,chickpea  tomato past  garam masala  ginger  red onion  avocado oilvegetarianspicypunjabnorth
Chapati,79,whole wheat flour  olive oil  hot wat  all purpose flourvegetarian-1maharashtrawest
Chicken razala,80,chicken  dahi  sesame se  garam masala powd  cashew nut  saffronnon vegetarianspicywest bengaleast
Chicken Tikka masala,81,naan bread  tomato sauc  skinless chicken breast  heavy cream  garam masalanon vegetarianspicypunjabnorth
Chicken Tikka,82,chicken  whole wheat bread  rice flour  garam masala powd  whole eggnon vegetarianspicypunjabnorth
Chole bhature,83,chole  bhatura  garam masala  bay leaf  cinnamon stickvegetarianspicypunjabnorth
Daal baati churma,84,moong dal  masoor d  chana d  wheat flour  almondvegetarianspicyrajasthanwest
Daal puri,85,moong dal  garam masala powd  garlic  green chilli  all purpose flourvegetarianspicywest bengaleast
Dal makhani ,86,red kidney bean  urad d  cream  garam masala  chili powdervegetariansweetpunjabnorth
Dal tadka,87,pigeon pea  garam masala  ginger  red onion  kasuri methivegetarianspicypunjabnorth
Dum aloo,88,baby potato  garam masala  cashew nut  kasuri methi  tomatoesvegetarianspicyjammu & kashmirnorth
Poha,89,beaten rice flak  potato  curry leav  green chili  lemon juicevegetarianspicymaharashtrawest
Fara,90,chana d  whole wheat flour  arhar d  white urad d  garam masala powdervegetarianspicychhattisgarhcentr
Kachori,91,moong dal  rava  garam masala  dough  fennel seedsvegetarianspicyuttar pradeshnorth
Kadai paneer,92,cottage chees  bell pepp  gravi  garam masala  cashew nutsvegetarianspicypunjabnorth
Kadhi pakoda,93,besan  garam masala powd  gram flour  ginger  curry leavesvegetarianspicyharyananorth
Karela bharta,94,bitter gourd  fennel  garam masala powd  chili powd  amchur powdervegetarianbitterpunjabnorth
Khichdi,95,moong dal  green pea  ginger  tomato  green chilivegetarianspicy-1-1
Kofta,96,paneer  potato  cream  corn flour  garam masalavegetarianspicyuttar pradeshnorth
Kulfi falooda,97,rose syrup  falooda sev  mixed nut  saffron  sugarvegetariansweet-1-1
